"","State.Exports.by.HS.Commodities","X","X.1","X.2","X.3","X.4"
"292","Louisiana","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk","2009","16,550,375","","16550.38"
"293","Louisiana","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk","2010","3,092","","3.09"
"294","Louisiana","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk","2011","701,768","","701.77"
"295","Louisiana","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk","2013","19,405","","19.41"
"296","Louisiana","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk","2023","270","","0.27"
"297","Louisiana","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes","2008","36,968","","36.97"
"298","Louisiana","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes","2011","879","","0.88"
"299","Louisiana","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.","2011","","239","0.24"
"300","Louisiana","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.","2023","17,997","","18.00"
"301","Louisiana","1107 Malt, Whether Or Not Roasted","2012","12,653,284","","12653.28"
"302","Louisiana","1107 Malt, Whether Or Not Roasted","2013","918,800","","918.80"
"303","Louisiana","1107 Malt, Whether Or Not Roasted","2014","393,251","","393.25"
"304","Louisiana","1107 Malt, Whether Or Not Roasted","2015","452,657","","452.66"
"305","Louisiana","1107 Malt, Whether Or Not Roasted","2016","1,495,564","","1495.56"
"306","Louisiana","1108 Starches; Inulin","2009","78,718","","78.72"
"307","Louisiana","1108 Starches; Inulin","2010","191,476","","191.48"
"308","Louisiana","1108 Starches; Inulin","2011","110,643","","110.64"
"309","Louisiana","1108 Starches; Inulin","2012","268,024","","268.02"
"310","Louisiana","1108 Starches; Inulin","2013","37,220","","37.22"
"311","Louisiana","1108 Starches; Inulin","2014","57,346","","57.35"
"312","Louisiana","1108 Starches; Inulin","2015","2,373","","2.37"
"313","Louisiana","1108 Starches; Inulin","2016","17,000","","17.00"
"314","Louisiana","1108 Starches; Inulin","2017","1,335","","1.34"
"315","Louisiana","1108 Starches; Inulin","2018","38,942","","38.94"
"316","Louisiana","1108 Starches; Inulin","2022","97,350","","97.35"
"317","Louisiana","1109 Wheat Gluten, Whether Or Not Dried","2023","119,856","","119.86"
"318","Louisiana","1201 Soybeans, Whether Or Not Broken","2008","15,933,684,697","","15933684.70"
"319","Louisiana","1201 Soybeans, Whether Or Not Broken","2009","19,283,375,034","","19283375.03"
"320","Louisiana","1201 Soybeans, Whether Or Not Broken","2010","20,051,026,814","","20051026.81"
"321","Louisiana","1201 Soybeans, Whether Or Not Broken","2011","16,234,024,002","","16234024.00"
"322","Louisiana","1201 Soybeans, Whether Or Not Broken","2012","22,543,412,093","","22543412.09"
"323","Louisiana","1201 Soybeans, Whether Or Not Broken","2013","17,471,015,543","","17471015.54"
"324","Louisiana","1201 Soybeans, Whether Or Not Broken","2014","22,445,306,764","","22445306.76"
"325","Louisiana","1201 Soybeans, Whether Or Not Broken","2015","23,313,272,939","","23313272.94"
"326","Louisiana","1201 Soybeans, Whether Or Not Broken","2016","27,858,179,080","","27858179.08"
"327","Louisiana","1201 Soybeans, Whether Or Not Broken","2017","27,531,134,586","","27531134.59"
"328","Louisiana","1201 Soybeans, Whether Or Not Broken","2018","23,743,713,175","","23743713.18"
"329","Louisiana","1201 Soybeans, Whether Or Not Broken","2019","25,856,111,884","","25856111.88"
"330","Louisiana","1201 Soybeans, Whether Or Not Broken","2020","31,398,350,197","","31398350.20"
"331","Louisiana","1201 Soybeans, Whether Or Not Broken","2021","23,111,106,707","","23111106.71"
"332","Louisiana","1201 Soybeans, Whether Or Not Broken","2022","27,494,322,733","","27494322.73"
"333","Louisiana","1201 Soybeans, Whether Or Not Broken","2023","25,091,463,792","","25091463.79"
"334","Louisiana","1202 Peanuts (ground-nuts), Raw","2013","2,198","","2.20"
"335","Louisiana","1202 Peanuts (ground-nuts), Raw","2016","1,632","","1.63"
"336","Louisiana","1202 Peanuts (ground-nuts), Raw","2019","50,620","","50.62"
"337","Louisiana","1202 Peanuts (ground-nuts), Raw","2020","299,454","","299.45"
"338","Louisiana","1203 Copra","2010","4,546","","4.55"
"339","Louisiana","1206 Sunflower Seeds, Whether Or Not Broken","2012","","14,000","14.00"
"340","Louisiana","1206 Sunflower Seeds, Whether Or Not Broken","2013","","125","0.13"
"341","Louisiana","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not","2011","8,000","","8.00"
"342","Louisiana","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not","2013","4,317","","4.32"
"343","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2008","56,132,393","","56132.39"
"344","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2009","33,326,961","","33326.96"
"345","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2010","78,998,652","","78998.65"
"346","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2011","194,585,549","","194585.55"
"347","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2012","908,084,346","","908084.35"
"348","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2013","160,390,545","","160390.55"
"349","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2014","326,270,659","","326270.66"
"350","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2015","203,853,982","","203853.98"
"351","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2016","71,801,063","","71801.06"
"352","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2017","111,546,223","","111546.22"
"353","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2018","226,523,694","","226523.69"
"354","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2019","213,604,069","","213604.07"
"355","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2020","250,658,691","","250658.69"
"356","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2021","181,692,790","","181692.79"
"357","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2022","156,377,331","","156377.33"
"358","Louisiana","1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard)","2023","253,496,664","","253496.66"
"359","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2008","2,324","329","2.65"
"360","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2009","7,109","14,840","21.95"
"361","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2010","58,884","2,295","61.18"
"362","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2011","2,184,065","","2184.07"
"363","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2012","37,683","","37.68"
"364","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2013","43,225","35,093","78.32"
"365","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2014","23,130","50,898","74.03"
"366","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2015","971","134,371","135.34"
"367","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2016","17,370","40,746","58.12"
"368","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2017","9,235","53,938","63.17"
"369","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2018","46,535","38,859","85.39"
"370","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2019","","75,449","75.45"
"371","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2020","5,125","29,074","34.20"
"372","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2021","","6,184","6.18"
"373","Louisiana","1209 Seeds, Fruit And Spores, For Sowing","2022","","69","0.07"
"374","Louisiana","1210 Hop Cones, Fresh Or Dried; Lupulin","2023","4,477","","4.48"
"375","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2008","","4,191","4.19"
"376","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2009","","6,003","6.00"
"377","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2010","","140","0.14"
"378","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2011","49,860","","49.86"
"379","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2012","","125","0.13"
"380","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2015","108,271","","108.27"
"381","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2017","","44","0.04"
"382","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2019","","1,868","1.87"
"383","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2020","","1,139","1.14"
"384","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2021","","504","0.50"
"385","Louisiana","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc","2023","17,880","","17.88"
"386","Louisiana","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.","2020","69,916","","69.92"
"387","Louisiana","1213 Cereal Straw & Husks Unprep W/n Chop Etc Or Pellet","2013","151,361","","151.36"
"388","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2008","87,717","","87.72"
"389","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2009","817,994","","817.99"
"390","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2012","125,455","","125.46"
"391","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2013","397,101","","397.10"
"392","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2014","5,635,416","","5635.42"
"393","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2015","83,551","","83.55"
"394","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2016","189,465","","189.47"
"395","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2018","9,072","","9.07"
"396","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2020","18,144","","18.14"
"397","Louisiana","1214 Rutabagas, Hay, Clover & Other Forage Products","2022","18,144","","18.14"
